budget_year,fund_type,department,branch,program,category,account_type,budget 
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Fleet Services,Expenses,2739000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Intra-municipal Charges,Expenses,3429000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Intra-municipal Recoveries,Expenses,742000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,"Materials, Goods, and Supplies",Expenses,7905000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Personnel,Expenses,72400000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Transfer to Reserves,Expenses,851000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - Facility Operations,Utilities & Other Charges,Expenses,19740000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,External Services,Expenses,480000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,Fleet Services,Expenses,533000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,Intra-municipal Charges,Expenses,380000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,Intra-municipal Recoveries,Expenses,28000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,"Materials, Goods, and Supplies",Expenses,259000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,Personnel,Expenses,2545000.00
2019,Tax Supported,Citizen Services,Community & Recreation Facilities,CIT/CRF - River Valley Parks and Facilities,Utilities & Other Charges,Expenses,1323000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,External Services,Expenses,885000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,Fleet Services,Expenses,81000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,Intra-municipal Charges,Expenses,179000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,Intra-municipal Recoveries,Expenses,13000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,"Materials, Goods, and Supplies",Expenses,1481000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,Personnel,Expenses,4435000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Animal Care and Pest Management,Utilities & Other Charges,Expenses,501000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,External Services,Expenses,4695000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,Fleet Services,Expenses,1406000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,Intra-municipal Charges,Expenses,2370000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,Intra-municipal Recoveries,Expenses,1026000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,"Materials, Goods, and Supplies",Expenses,957000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,Personnel,Expenses,26166000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Enforcement and Program Services,Utilities & Other Charges,Expenses,703000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Neighbourhoods Services,External Services,Expenses,1253000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Neighbourhoods Services,Intra-municipal Charges,Expenses,104000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Neighbourhoods Services,"Materials, Goods, and Supplies",Expenses,95000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Neighbourhoods Services,Personnel,Expenses,6158000.00
2019,Tax Supported,Citizen Services,Community Standards & Neighbourhoods,CIT/CSN - Neighbourhoods Services,Utilities & Other Charges,Expenses,649000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Fire Rescue Operations,External Services,Expenses,203000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Fire Rescue Operations,Intra-municipal Charges,Expenses,310000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Fire Rescue Operations,"Materials, Goods, and Supplies",Expenses,1374000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Fire Rescue Operations,Personnel,Expenses,161767000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Fire Rescue Operations,Utilities & Other Charges,Expenses,282000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Planning and Office of Emergency Management,External Services,Expenses,66000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Planning and Office of Emergency Management,Intra-municipal Charges,Expenses,18000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Planning and Office of Emergency Management,"Materials, Goods, and Supplies",Expenses,63000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Planning and Office of Emergency Management,Personnel,Expenses,1166000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Planning and Office of Emergency Management,Utilities & Other Charges,Expenses,42000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,External Services,Expenses,11955000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,Intra-municipal Charges,Expenses,36000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,Intra-municipal Recoveries,Expenses,20000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,"Materials, Goods, and Supplies",Expenses,66000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,Personnel,Expenses,10241000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Public Safety,Utilities & Other Charges,Expenses,64000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Technical Services,External Services,Expenses,136000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Technical Services,Intra-municipal Charges,Expenses,38000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Technical Services,"Materials, Goods, and Supplies",Expenses,1836000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Technical Services,Personnel,Expenses,7884000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Technical Services,Utilities & Other Charges,Expenses,578000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,External Services,Expenses,213000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,Fleet Services,Expenses,13843000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,Intra-municipal Charges,Expenses,490000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,"Materials, Goods, and Supplies",Expenses,4941000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,Personnel,Expenses,8921000.00
2019,Tax Supported,Citizen Services,Fire Rescue Services,CIT/FRS - Training and Logistics,Utilities & Other Charges,Expenses,126000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Business Performance Program,External Services,Expenses,240000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Business Performance Program,Intra-municipal Charges,Expenses,91000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Business Performance Program,"Materials, Goods, and Supplies",Expenses,172000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Business Performance Program,Personnel,Expenses,3644000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Business Performance Program,Utilities & Other Charges,Expenses,98000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Partnership & Organizational Development,Personnel,Expenses,1289000.00
2019,Tax Supported,Citizen Services,Integrated Strategic Development,CIT/ISD - Strategic Design,Personnel,Expenses,1469000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Communities of Interest,External Services,Expenses,968000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Communities of Interest,Intra-municipal Charges,Expenses,177000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Communities of Interest,"Materials, Goods, and Supplies",Expenses,79000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Communities of Interest,Personnel,Expenses,2920000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Communities of Interest,Utilities & Other Charges,Expenses,1818000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Initiatives,External Services,Expenses,2823000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Initiatives,Intra-municipal Charges,Expenses,46000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Initiatives,"Materials, Goods, and Supplies",Expenses,298000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Initiatives,Personnel,Expenses,2067000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Initiatives,Utilities & Other Charges,Expenses,1091000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Resources,External Services,Expenses,24000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Resources,Intra-municipal Charges,Expenses,32000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Resources,"Materials, Goods, and Supplies",Expenses,6000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Resources,Personnel,Expenses,1385000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Community Resources,Utilities & Other Charges,Expenses,31383000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Family & Community Supports,External Services,Expenses,863000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Family & Community Supports,Intra-municipal Charges,Expenses,59000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Family & Community Supports,"Materials, Goods, and Supplies",Expenses,90000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Family & Community Supports,Personnel,Expenses,5496000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Family & Community Supports,Utilities & Other Charges,Expenses,1089000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,External Services,Expenses,777000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,Intra-municipal Charges,Expenses,19000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,"Materials, Goods, and Supplies",Expenses,125000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,Personnel,Expenses,2473000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,Transfer to Reserves,Expenses,14000.00
2019,Tax Supported,Citizen Services,Social Development,CIT/SD - Housing and Homelessness,Utilities & Other Charges,Expenses,15399000.00
2019,Tax Supported,City Operations,41ST AVE SW QE2 HWY Interchange,OPS/41AVE - 41st AVE SW QE2 HWY,External Services,Expenses,2008000.00
2019,Tax Supported,City Operations,Business Performance & Customer Experience,OPS/BPCE - Business Performance & Customer Experience,External Services,Expenses,91000.00
2019,Tax Supported,City Operations,Business Performance & Customer Experience,OPS/BPCE - Business Performance & Customer Experience,Intra-municipal Charges,Expenses,8000.00
2019,Tax Supported,City Operations,Business Performance & Customer Experience,OPS/BPCE - Business Performance & Customer Experience,Intra-municipal Recoveries,Expenses,372000.00
2019,Tax Supported,City Operations,Business Performance & Customer Experience,OPS/BPCE - Business Performance & Customer Experience,Personnel,Expenses,2798000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,External Services,Expenses,14126000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,Fleet Services,Expenses,88621000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,Intra-municipal Charges,Expenses,16188000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,Intra-municipal Recoveries,Expenses,2136000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,"Materials, Goods, and Supplies",Expenses,8908000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,Personnel,Expenses,195620000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - Bus and LRT,Utilities & Other Charges,Expenses,10439000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,External Services,Expenses,10817000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,Fleet Services,Expenses,3356000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,Intra-municipal Charges,Expenses,71000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,"Materials, Goods, and Supplies",Expenses,371000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,Personnel,Expenses,16820000.00
2019,Tax Supported,City Operations,Edmonton Transit,OPS/ETS - DATS,Utilities & Other Charges,Expenses,141000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,External Services,Expenses,3512000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,Fleet Services,Expenses,64867000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,Intra-municipal Charges,Expenses,4586000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,"Materials, Goods, and Supplies",Expenses,41765000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,Personnel,Expenses,13686000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,Transfer to Reserves,Expenses,25541000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Branch Operations,Utilities & Other Charges,Expenses,905000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,External Services,Expenses,43316000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,Fleet Services,Expenses,3050000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,Intra-municipal Charges,Expenses,6135000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,Intra-municipal Recoveries,Expenses,28825000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,"Materials, Goods, and Supplies",Expenses,6263000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,Personnel,Expenses,41004000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Facility Maintenance Services,Utilities & Other Charges,Expenses,388000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,External Services,Expenses,9934000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,Fleet Services,Expenses,57350000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,Intra-municipal Charges,Expenses,948000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,"Materials, Goods, and Supplies",Expenses,16344000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,Personnel,Expenses,32111000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Municipal Maintenance,Utilities & Other Charges,Expenses,1209000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,External Services,Expenses,1543000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,Fleet Services,Expenses,71824000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,Intra-municipal Charges,Expenses,397000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,"Materials, Goods, and Supplies",Expenses,23134000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,Personnel,Expenses,37910000.00
2019,Tax Supported,City Operations,Fleet & Facility Services,OPS/FFS - Transit Maintenance,Utilities & Other Charges,Expenses,4391000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,External Services,Expenses,11908000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,Fleet Services,Expenses,7991000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,Intra-municipal Charges,Expenses,1177000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,Intra-municipal Recoveries,Expenses,12135000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,"Materials, Goods, and Supplies",Expenses,18227000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,Personnel,Expenses,25787000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Maintenance,Utilities & Other Charges,Expenses,1216000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,External Services,Expenses,8428000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Fleet Services,Expenses,24716000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Intra-municipal Charges,Expenses,24912000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Intra-municipal Recoveries,Expenses,2957000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,"Materials, Goods, and Supplies",Expenses,7404000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Personnel,Expenses,69412000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Transfer to Reserves,Expenses,400000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Infrastructure Operations,Utilities & Other Charges,Expenses,2813000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,External Services,Expenses,11009000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,Fleet Services,Expenses,1264000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,Intra-municipal Charges,Expenses,1372000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,Intra-municipal Recoveries,Expenses,9856000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,"Materials, Goods, and Supplies",Expenses,2311000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,Personnel,Expenses,13868000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Network Operations,Utilities & Other Charges,Expenses,10337000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,External Services,Expenses,1729000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Fleet Services,Expenses,69000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Intra-municipal Charges,Expenses,128000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Intra-municipal Recoveries,Expenses,2486000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,"Materials, Goods, and Supplies",Expenses,401000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Personnel,Expenses,2995000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Transfer to Reserves,Expenses,370000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Parking Operations,Utilities & Other Charges,Expenses,3959000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,External Services,Expenses,11365000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,Fleet Services,Expenses,5286000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,Intra-municipal Charges,Expenses,26204000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,Intra-municipal Recoveries,Expenses,930000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,"Materials, Goods, and Supplies",Expenses,21791000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Snow and Ice Control,Utilities & Other Charges,Expenses,24000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,External Services,Expenses,6635000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,Fleet Services,Expenses,475000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,Intra-municipal Charges,Expenses,1830000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,"Materials, Goods, and Supplies",Expenses,456000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,Personnel,Expenses,4599000.00
2019,Tax Supported,City Operations,Parks & Roads Services,OPS/PARS - Traffic Safety Section,Utilities & Other Charges,Expenses,200000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,External Services,Expenses,284000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,Intra-municipal Charges,Expenses,474000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,Intra-municipal Recoveries,Expenses,1687000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,"Materials, Goods, and Supplies",Expenses,282000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,Personnel,Expenses,15822000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - 311/Inside Information,Utilities & Other Charges,Expenses,298000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,External Services,Expenses,321000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,Intra-municipal Charges,Expenses,105000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,Intra-municipal Recoveries,Expenses,800000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,"Materials, Goods, and Supplies",Expenses,7000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,Personnel,Expenses,2663000.00
2019,Tax Supported,Communications & Engagement,Engagement,CE/ENG - Public Engagement,Utilities & Other Charges,Expenses,5000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - External Relations & Protocol,Intra-municipal Charges,Expenses,7000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - External Relations & Protocol,Personnel,Expenses,532000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Intergovernmental Affairs,External Services,Expenses,15000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Intergovernmental Affairs,Intra-municipal Charges,Expenses,17000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Intergovernmental Affairs,Personnel,Expenses,896000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Intergovernmental Affairs,Utilities & Other Charges,Expenses,10000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Public Sector & Not for Profit,External Services,Expenses,154000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Public Sector & Not for Profit,Intra-municipal Charges,Expenses,24000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Public Sector & Not for Profit,"Materials, Goods, and Supplies",Expenses,54000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Public Sector & Not for Profit,Personnel,Expenses,1144000.00
2019,Tax Supported,Communications & Engagement,External and Intergovernmental Relations,CE/EXT - Public Sector & Not for Profit,Utilities & Other Charges,Expenses,523000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - Creative & Digital,External Services,Expenses,127000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - Creative & Digital,Intra-municipal Recoveries,Expenses,260000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - Creative & Digital,"Materials, Goods, and Supplies",Expenses,3000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - Creative & Digital,Personnel,Expenses,2851000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,External Services,Expenses,1397000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,Intra-municipal Charges,Expenses,152000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,Intra-municipal Recoveries,Expenses,4398000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,"Materials, Goods, and Supplies",Expenses,152000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,Personnel,Expenses,11220000.00
2019,Tax Supported,Communications & Engagement,Integrated Marketing Communications,CE/IMC - IMC Support,Utilities & Other Charges,Expenses,51000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,External Services,Expenses,104000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,Intra-municipal Charges,Expenses,30000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,Intra-municipal Recoveries,Expenses,117000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,"Materials, Goods, and Supplies",Expenses,26000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,Personnel,Expenses,1749000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Reputation,Utilities & Other Charges,Expenses,9000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Story & Brand,External Services,Expenses,192000.00
2019,Tax Supported,Communications & Engagement,Reputation and Brand,CE/RB - Story & Brand,Personnel,Expenses,852000.00
2019,Tax Supported,Corporate Expenditures & Revenues,Automated Enforcement,Transfer to TSAE Reserve,Transfer to TSAE Reserve,Expenses,50750000.00
